customer_id,customer_name,email,phone,city,state,signup_date,membership_tier,marketing_opt_in
1,Dennis Young,aprilmoody@example.com,870.805.1844x9892,Brianaland,NC,2025-03-31,Standard,False
2,courtney sullivan,tommy79@example.org,327.523.1843x22259,Shepherdville,NJ,2022-03-09,Silver,False
3,Kevin Holland,cjohnson@example.org,001-492-628-0920,New Susan,PA,2024-09-23,Platinum,
4,SHERRY LUNA,stacey37@example.net,772.936.9292x9842,East Nicholasberg,CT,2026-06-29,Silver,True
5,SUSAN COHEN,catherinethompson@example.net,+1-808-781-1729x806,Lake Alyssabury,AS,2020-10-10,Gold,True
6,HAYLEY BALLARD,colemanjonathan@example.org,349-286-4300,Penamouth,MT,2023-07-27,Standard,False
7,Matthew King,ncunningham@example.com,+1-763-868-8725x88744,Port Michelle,DE,2022-11-07,Platinum,False
8,michael martin,,286.358.9026,South Sara,NE,2025-03-01,Standard,False
9,jacob lynch,zarias@example.net,+1-284-590-2770x3843,Lake Barry,IA,2021-03-16,Standard,True
10,Angie Hill,,(756)769-3801x1848,Jeremyborough,NH,2024-08-09,Standard,True
11,Debbie Russell,hansenwesley@example.com,984-589-4769,Susanmouth,TX,2026-04-03,Standard,False
12,Alyssa Wilson,reyeskristina@example.org,+1-335-465-8804x34165,Edwardsborough,MH,2023-06-10,Silver,True
13,Paul Conrad,victorgonzalez@example.net,343.333.3952,Lake Stephaniefort,RI,2024-02-13,Silver,False
14,Tina Charles,christine79@example.com,228.746.3920x8678,Daltonburgh,NH,2020-09-18,Gold,True
15,JULIA NORRIS,craignicolas@example.org,959-842-8434x79552,South Jaclyn,MN,2026-07-15,Silver,True
16,Jerry Duncan,lisale@example.org,+1-866-932-2702,Port Crystal,ND,2022-11-13,Gold,
17,Elizabeth Hart,rosshannah@example.org,647.717.5455,South Davidborough,OK,2024-12-31,Standard,
18,carrie deleon,mark87@example.net,816.394.7225x699,East Matthewmouth,MD,2024-02-18,Standard,False
19,Lisa Foster,xnorman@example.net,001-687-362-2023,East Randy,CT,2024-08-05,Silver,False
20,Kimberly Johnson,fwarren@example.org,492-216-4334x722,Lake Michaelmouth,VI,2021-01-21,Silver,
21,Kimberly Nelson,staylor@example.net,(799)979-6884,Port Christopher,ME,2023-07-14,Silver,False
22,Eric Smith,mauriceharrison@example.org,001-577-840-6493x085,Fosterburgh,VT,2022-11-14,Gold,True
23,James Baker,hgarrett@example.net,001-944-984-6312x241,Jackiefort,ID,2025-02-05,Standard,False
24,Wayne Johnson,campbelldavid@example.com,001-903-212-0735x6475,Christopherberg,AR,2022-08-07,Silver,False
25,Joshua White,lisa01@example.net,567.930.3718,Maldonadoport,MD,2022-04-11,Silver,
26,natasha dunn,kingdanielle@example.org,(803)513-6502x491,North Biancafort,UT,2021-08-17,Standard,True
27,Brandon Moore,parksmatthew@example.net,7057281273,Quinntown,UT,2024-04-02,Silver,True
28,Danielle Williams,ihansen@example.net,439.928.5574x9821,Loriside,MN,2022-12-11,Silver,False
29,Katie Gross,harveymichael@example.net,451.686.3878,Robertmouth,DE,2023-05-27,Silver,False
30,Amanda Pace,morganharris@example.com,610.296.7899,Jeffreyland,AL,2021-04-02,Standard,
31,John Preston,mcdonalddanielle@example.com,+1-665-309-4801,New Colton,VA,2026-04-05,Silver,True
32,Corey Sandoval,angelagrant@example.net,895-776-1228,New Yesenia,NV,2022-01-23,Silver,
33,Krista Shea,robert65@example.net,998.836.8457,Lake Austinport,PA,2026-04-12,Standard,False
34,steve smith,jasonedwards@example.net,488-689-9210x752,Pamelabury,IN,2020-10-09,Standard,True
35,Kelly Carroll,jessicacummings@example.com,(379)219-4096,Michaelchester,MT,2022-03-19,Gold,False
36,randy adkins,walterscrystal@example.org,980-358-9258x3206,South Keith,MO,2026-04-05,Standard,False
37,john mcgee,zbaker@example.net,(522)378-3769x38983,Kimberlymouth,TX,2021-07-25,Standard,True
38,michael henderson,james59@example.net,2425597927,Lake Nathaniel,WV,2026-03-22,Standard,True
39,Patrick Sanchez,mistywilkins@example.org,914-477-0538x33884,South Brandyhaven,AZ,2025-01-17,Standard,
40,Curtis Horton,brian01@example.com,+1-345-410-4636x81579,New Tammy,OH,2022-03-17,Standard,
41,David Moreno,tracy20@example.com,+1-455-743-8404x60843,Sandovalland,VA,2026-03-27,Silver,False
42,Lisa Garrett,robertberry@example.com,495-878-2329x8324,Lake Sarah,PW,2022-12-20,Silver,True
43,Joseph Ball,lonniehobbs@example.net,3564647423,North Kathryn,RI,2021-08-16,Standard,
44,LISA CARLSON,,705.417.2897,Henryberg,GA,2024-05-18,Standard,
45,phillip smith,stephanie33@example.org,827-297-5736,Cortezfurt,RI,2021-11-01,Standard,False
46,KIMBERLY DAVIDSON,meyershannon@example.org,588.660.8680,Sandersport,WI,2026-04-24,Standard,
47,Jay Austin,vaughnrebecca@example.com,+1-271-481-2982x6657,Garzaborough,FM,2025-08-23,Standard,True
48,Michael Meadows,jennifermartinez@example.org,001-275-418-6892x686,Arianaberg,GA,2023-05-28,Standard,True
49,Michael Barnes,jessica74@example.net,(912)930-9407,New Nicolebury,IL,2025-11-21,Gold,False
50,Jason Miller,sanchezamy@example.net,+1-683-702-2050x2099,North Danielburgh,GA,2024-03-17,Gold,
51,Melissa Larson,tammycurry@example.com,3146556168,Taylorview,MA,2024-09-16,Gold,
52,Melissa Salazar,duncantiffany@example.net,779-446-9548,Stonefort,NM,2023-11-03,Platinum,
